"Respondent_ID","Age","Gender","Favorite_Pony","Fan_Segment","Annual_Spend_USD","Country"
"RESP_1150",13,"Female","Pinkie Pie","Casual Fan",14.97,"United Kingdom"
"RESP_1247",33,"Male","Big McIntosh","Casual Fan",67.62,"Japan"
"RESP_0446",28,"Male","Sunset Shimmer","General Public",37.74,"Germany"
"RESP_0416",19,"Other","Spike","General Public",7.38,"United Kingdom"
"RESP_0514",19,"Other","Rainbow Dash","General Public",20.89,"United States of America"
"RESP_0936",7,"Female","Sunset Shimmer","Child/Parent Collection",126.7,"United States of America"
"RESP_0128",10,"Female","Derpy Hooves","Child/Parent Collection",154.74,"United Kingdom"
"RESP_1477",11,"Other","Fluttershy","Child/Parent Collection",55.99,"Germany"
"RESP_0749",10,"Other","Discord","Child/Parent Collection",92.91,"United Kingdom"
"RESP_0566",26,"Female","Spike","Brony",307.54,"United Kingdom"
"RESP_0362",24,"Other","Princess Luna","Brony",175.57,"Australia"
"RESP_0368",18,"Other","Spike","General Public",8.72,"Germany"
"RESP_1238",5,"Other","Princess Luna","Casual Fan",12.68,"United States of America"
"RESP_0142",13,"Other","Princess Luna","Casual Fan",35.81,"Australia"
"RESP_1076",10,"Male","Princess Celestia","Child/Parent Collection",94.99,"United States of America"
"RESP_1083",42,"Male","Spike","Child/Parent Collection",34.35,"United Kingdom"
"RESP_0859",16,"Other","Sunset Shimmer","Brony",207.45,"United Kingdom"
"RESP_0926",22,"Other","Discord","Casual Fan",24.07,"Japan"
"RESP_0985",12,"Male","Discord","General Public",36.85,"Australia"
"RESP_0952",24,"Female","Fluttershy","Casual Fan",12.69,"United Kingdom"
"RESP_0973",24,"Male","Spike","General Public",9.8,"United Kingdom"
"RESP_0968",20,"Male","Big McIntosh","Casual Fan",3.21,"Canada"
"RESP_0398",11,"Other","Spike","Casual Fan",16.09,"Japan"
"RESP_1211",25,"Other","Fluttershy","Brony",157.41,"United States of America"
"RESP_0489",14,"Other","Twilight Sparkle","General Public",25.67,"Japan"
"RESP_0908",7,"Other","Starlight Glimmer","Child/Parent Collection",104.41,"Japan"
"RESP_0569",12,"Other","Sunset Shimmer","Child/Parent Collection",52.14,"United Kingdom"
"RESP_1314",23,"Other","Big McIntosh","Brony",169.56,"United Kingdom"
"RESP_1194",31,"Female","Starlight Glimmer","Brony",365.42,"United States of America"
"RESP_0948",31,"Other","Derpy Hooves","Child/Parent Collection",60.45,"Canada"
"RESP_0264",12,"Male","Applejack","Brony",98.68,"Canada"
"RESP_0770",24,"Other","Pinkie Pie","General Public",85.27,"Australia"
"RESP_0836",22,"Other","Big McIntosh","Brony",370.19,"Japan"
"RESP_0964",15,"Other","Sunset Shimmer","General Public",75.26,"United States of America"
"RESP_0242",19,"Other","Sunset Shimmer","Casual Fan",28.66,"United States of America"
"RESP_0096",34,"Male","Trixie Lulamoon","Brony",395.56,"United States of America"
"RESP_0263",17,"Female","Derpy Hooves","General Public",66.9,"Canada"
"RESP_0072",31,"Male","Princess Luna","Child/Parent Collection",155.08,"United Kingdom"
"RESP_0038",17,"Female","Discord","Casual Fan",58.67,"United States of America"
"RESP_0112",25,"Female","Fluttershy","General Public",14.88,"Canada"
"RESP_0603",28,"Other","Princess Celestia","General Public",21.41,"United Kingdom"
"RESP_1303",6,"Other","Sunset Shimmer","Child/Parent Collection",72.16,"United Kingdom"
"RESP_1026",39,"Other","Trixie Lulamoon","Child/Parent Collection",52.92,"United States of America"
"RESP_1146",25,"Other","Trixie Lulamoon","Brony",351.36,"Japan"
"RESP_0738",31,"Male","Rainbow Dash","Brony",402.44,"Canada"
"RESP_0748",21,"Male","Princess Luna","Casual Fan",69.5,"United Kingdom"
"RESP_0061",13,"Other","Discord","Casual Fan",30.17,"United States of America"
"RESP_0453",44,"Other","Rainbow Dash","Child/Parent Collection",50.37,"United Kingdom"
"RESP_0814",37,"Female","Starlight Glimmer","Child/Parent Collection",106.04,"United Kingdom"
"RESP_1139",31,"Other","Rainbow Dash","General Public",9.29,"Germany"
"RESP_0983",21,"Male","Spike","Casual Fan",28.33,"United Kingdom"
"RESP_0211",30,"Other","Twilight Sparkle","Child/Parent Collection",93.41,"United States of America"
"RESP_0287",12,"Female","Pinkie Pie","Casual Fan",87.42,"Canada"
"RESP_0452",9,"Male","Spike","Casual Fan",28.43,"Germany"
"RESP_0507",25,"Male","Fluttershy","General Public",9.14,"Germany"
"RESP_0542",33,"Other","Fluttershy","Child/Parent Collection",36.7,"United States of America"
"RESP_0309",16,"Male","Princess Celestia","Casual Fan",39.37,"Japan"
"RESP_0998",38,"Other","Princess Celestia","Child/Parent Collection",73.7,"Japan"
"RESP_0117",31,"Female","Discord","Casual Fan",44.28,"Germany"
"RESP_1038",31,"Male","Princess Celestia","Child/Parent Collection",41.92,"United States of America"
"RESP_0286",20,"Other","Fluttershy","Casual Fan",28.99,"United Kingdom"
"RESP_1282",28,"Other","Fluttershy","Brony",294.22,"Canada"
"RESP_0889",36,"Other","Fluttershy","Child/Parent Collection",68.29,"United Kingdom"
"RESP_0681",32,"Other","Discord","Brony",66.56,"United Kingdom"
"RESP_0410",14,"Other","Fluttershy","General Public",15.79,"United Kingdom"
"RESP_1166",17,"Other","Starlight Glimmer","Casual Fan",37.4,"United States of America"
"RESP_1230",26,"Other","Derpy Hooves","General Public",19.42,"United Kingdom"
"RESP_0205",18,"Other","Princess Luna","General Public",11.22,"United States of America"
"RESP_0831",15,"Other","Derpy Hooves","Brony",285.79,"United Kingdom"
"RESP_0433",5,"Male","Pinkie Pie","Child/Parent Collection",115.9,"Japan"
"RESP_1003",23,"Female","Spike","Brony",182.11,"Germany"
"RESP_1268",21,"Other","Applejack","General Public",39.73,"United Kingdom"
"RESP_1099",30,"Other","Rarity","Child/Parent Collection",76.39,"Germany"
"RESP_0314",27,"Other","Spike","General Public",16.28,"Germany"
"RESP_0064",34,"Female","Discord","Child/Parent Collection",49.86,"United States of America"
"RESP_0345",24,"Other","Fluttershy","General Public",18.67,"Canada"
"RESP_1475",23,"Other","Derpy Hooves","General Public",18.06,"United States of America"
"RESP_0059",11,"Female","Trixie Lulamoon","Child/Parent Collection",93.42,"Other"
"RESP_1039",31,"Other","Rarity","Casual Fan",32.4,"Australia"
"RESP_0792",29,"Other","Rainbow Dash","Brony",106.52,"United States of America"
"RESP_0141",22,"Other","Rarity","Brony",215.96,"Germany"
"RESP_0431",30,"Other","Derpy Hooves","Child/Parent Collection",232.12,"United Kingdom"
"RESP_0504",27,"Male","Spike","General Public",9.47,"United States of America"
"RESP_0810",16,"Female","Starlight Glimmer","Casual Fan",25.33,"Japan"
"RESP_1494",11,"Female","Rarity","General Public",24.13,"United Kingdom"
"RESP_0207",25,"Other","Fluttershy","Brony",114.3,"Canada"
"RESP_0906",15,"Other","Twilight Sparkle","General Public",19.73,"United Kingdom"
"RESP_1404",7,"Female","Fluttershy","General Public",14.64,"United States of America"
"RESP_1239",4,"Other","Trixie Lulamoon","Child/Parent Collection",63.11,"Japan"
"RESP_0811",8,"Male","Derpy Hooves","General Public",6.38,"Germany"
"RESP_0512",9,"Female","Applejack","Child/Parent Collection",48.39,"Japan"
"RESP_0784",18,"Male","Rarity","Casual Fan",13.62,"Other"
"RESP_1341",20,"Male","Pinkie Pie","General Public",74.31,"Australia"
"RESP_0865",19,"Female","Princess Luna","Casual Fan",16.71,"Australia"
"RESP_0526",31,"Other","Rainbow Dash","General Public",15.6,"United Kingdom"
"RESP_0028",17,"Other","Trixie Lulamoon","Brony",180.19,"United States of America"
"RESP_0118",26,"Female","Princess Luna","Brony",238.52,"Germany"
"RESP_0010",7,"Male","Spike","Child/Parent Collection",86.14,"Canada"
"RESP_1476",10,"Female","Princess Celestia","General Public",33.66,"United Kingdom"
"RESP_1459",21,"Female","Starlight Glimmer","Brony",58.62,"United States of America"
"RESP_0657",31,"Other","Big McIntosh","Child/Parent Collection",57.98,"United Kingdom"
"RESP_1106",12,"Male","Fluttershy","Casual Fan",33.62,"Germany"
"RESP_1330",36,"Male","Twilight Sparkle","Child/Parent Collection",146.99,"United States of America"
"RESP_0417",4,"Other","Discord","Child/Parent Collection",151.41,"Japan"
"RESP_0955",21,"Male","Sunset Shimmer","General Public",33.76,"United States of America"
"RESP_0717",23,"Other","Spike","Brony",227.52,"Germany"
"RESP_1021",24,"Other","Applejack","General Public",31.19,"Japan"
"RESP_1142",10,"Male","Big McIntosh","Casual Fan",31.82,"United Kingdom"
"RESP_1415",27,"Male","Discord","Brony",138.39,"United States of America"
"RESP_0838",16,"Other","Princess Luna","Brony",138.31,"Australia"
"RESP_0397",36,"Female","Twilight Sparkle","Child/Parent Collection",241.63,"United States of America"
"RESP_0923",36,"Other","Big McIntosh","Child/Parent Collection",107.19,"Japan"
"RESP_0829",12,"Female","Discord","Child/Parent Collection",138.31,"United Kingdom"
"RESP_0547",14,"Male","Princess Luna","Casual Fan",20.82,"Germany"
"RESP_0468",21,"Other","Rarity","Casual Fan",10.89,"United Kingdom"
